2,16,2,2,9,19,1,2,3,1,2,2,3,9,20,2,38,6,0,3,2,16,23,17,16,25,10,14,13,44,39,0
11,4,4,2,5,20,14,2,2,1,2,2,2,21,5,11,22,2,2,2,15,2,20,14,19,20,24,9,35,27,0,39
1,2,8,11,13,1,22,1,1,1,4,1,9,3,4,3,12,7,1,9,22,32,1,13,5,25,24,41,71,0,27,44
5,1,7,1,22,19,37,2,2,2,2,17,2,3,1,1,1,2,10,4,34,17,8,1,9,4,53,26,0,71,35,13
3,8,16,28,9,2,5,2,5,11,21,1,7,1,6,5,10,13,17,20,2,12,2,5,19,51,53,0,26,41,9,14
11,1,25,8,0,4,12,3,1,17,5,3,1,3,2,12,2,3,21,21,12,2,2,3,36,35,0,53,53,24,24,10
25,31,2,17,0,3,2,0,12,1,2,2,1,2,6,13,13,15,2,12,1,1,3,26,66,0,35,51,4,25,20,25
31,17,7,2,2,6,2,16,2,1,2,2,2,4,0,30,3,21,10,1,1,2,29,19,0,66,36,19,9,5,19,16
2,1,2,2,2,1,1,2,14,1,7,6,15,13,27,8,19,20,2,12,18,46,66,0,19,26,3,5,1,13,14,17
3,2,2,1,2,9,1,12,1,4,2,10,1,25,14,17,1,16,22,2,39,34,0,66,29,3,2,2,8,1,20,23
2,2,2,1,13,1,2,2,1,3,15,30,32,2,5,2,0,17,28,54,64,0,34,46,2,1,2,12,17,32,2,16
2,1,2,2,1,2,20,3,1,12,0,35,23,9,1,19,1,3,50,39,0,64,39,18,1,1,12,2,34,22,15,2
2,1,1,16,3,1,1,1,13,17,26,3,11,1,8,13,2,34,77,0,39,54,2,12,1,12,21,20,4,9,2,3
1,2,10,3,2,2,1,16,0,27,15,8,1,4,2,24,15,38,0,77,50,28,22,2,10,2,21,17,10,1,2,0
1,11,2,7,2,2,0,22,19,5,13,1,4,4,10,57,18,0,38,34,3,17,16,20,21,15,3,13,2,7,2,6
11,37,4,10,29,53,10,2,11,3,7,3,7,10,49,17,0,18,15,2,1,0,1,19,3,13,2,10,1,12,22,38
18,0,2,2,0,2,2,30,15,9,2,4,2,30,18,0,17,57,24,13,19,2,17,8,30,13,12,5,1,3,11,2
3,6,2,3,17,22,2,12,24,13,18,15,37,48,0,18,49,10,2,8,1,5,14,27,0,6,2,6,1,4,5,20
16,4,7,2,3,21,10,38,21,25,13,45,35,0,48,30,10,4,4,1,9,2,25,13,4,2,3,1,3,3,21,9
1,3,2,15,25,2,19,2,21,25,53,78,0,35,37,2,7,4,1,11,23,32,1,15,2,1,1,7,2,9,2,3
2,1,14,3,19,12,33,9,5,37,44,0,78,45,15,4,3,1,8,3,35,30,10,6,2,2,3,1,17,1,2,2
3,9,22,19,7,1,2,15,49,60,0,44,53,13,18,2,7,13,15,26,0,15,2,7,2,2,5,21,2,4,2,2
16,3,22,8,2,4,7,50,41,0,60,37,25,25,13,9,3,5,27,17,12,3,4,1,1,1,17,11,2,1,1,1
20,21,2,8,3,3,17,67,0,41,49,5,21,21,24,15,11,19,0,13,1,1,1,14,2,12,1,5,2,1,2,3
29,19,10,4,3,30,24,0,67,50,15,9,2,38,12,30,2,22,16,1,3,2,12,2,16,0,3,2,2,1,2,2
13,6,25,13,86,47,0,24,17,7,2,33,19,10,2,2,10,0,1,1,20,2,1,1,2,2,12,5,37,22,14,1
23,28,23,13,49,0,47,30,3,4,1,12,2,21,22,2,53,2,2,1,2,1,9,1,6,3,4,2,19,1,20,19
6,21,42,44,0,49,86,3,3,2,7,19,25,3,17,0,29,2,2,3,1,13,2,2,2,0,0,9,22,13,5,9
20,44,56,0,44,13,13,4,8,8,19,3,15,2,3,2,10,7,3,16,2,1,1,2,2,17,8,28,1,11,2,2
35,41,0,56,42,23,25,10,2,22,22,14,2,7,2,2,4,2,10,1,2,2,2,2,7,2,25,16,7,8,4,2
86,0,41,44,21,28,6,19,21,3,9,1,3,4,6,0,37,11,2,1,1,2,2,1,17,31,1,8,1,2,4,16
0,86,35,20,6,23,13,29,20,16,3,2,1,16,3,18,11,1,1,2,2,2,3,2,31,25,11,3,5,1,11,2
